{'sample_size': 500, 'difference': -42, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006971653972696233, 'weighted_error': 1.000680238206268, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007254532431533588, 'weighted_error': 1.000632832626712, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007189605664760294, 'weighted_error': 1.0003830644067429, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006956914634153673, 'weighted_error': 1.0003117547427056, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006981027011119912, 'weighted_error': 1.0004064729630513, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -25, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007127074526690392, 'weighted_error': 1.0011414380140309, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007045425779981439, 'weighted_error': 1.0004039253421462, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007343834969727195, 'weighted_error': 1.0011094181257842, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 11, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007238274378189563, 'weighted_error': 1.0005996529260095, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00726166089874597, 'weighted_error': 1.0004956507098457, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069770970694327, 'weighted_error': 1.0008163156246808, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007046971672381659, 'weighted_error': 1.0011391914215142, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007056176456472073, 'weighted_error': 1.0006983250751678, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.00710078376263282, 'weighted_error': 1.0006253572727513, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007099336987166, 'weighted_error': 1.0004302570631147, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0072290170513509625, 'weighted_error': 1.0005807604222574, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007369835419755756, 'weighted_error': 1.0006646733989233, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006959407807435887, 'weighted_error': 1.0003740840747624, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006961840702543593, 'weighted_error': 1.000193291756647, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -45, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007018022685161524, 'weighted_error': 1.000459864004477, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007051176740518195, 'weighted_error': 1.0004269291842922, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007147823225048845, 'weighted_error': 1.0005649410572335, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 19, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007151460460405226, 'weighted_error': 1.0004224816652252, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 24, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007199737929690354, 'weighted_error': 1.0003988960706964, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006998957887856501, 'weighted_error': 1.0013628360852735, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007000926413581782, 'weighted_error': 1.0006275774348479, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007072124962035336, 'weighted_error': 1.000798003234938, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 14, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007194023308378677, 'weighted_error': 1.0009983154557354, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007121755304963854, 'weighted_error': 1.000492530168108, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007225373963902551, 'weighted_error': 1.0005733255499139, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007100197699882255, 'weighted_error': 1.0002433644616213, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 23, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006963792776309357, 'weighted_error': 1.0004837082965956, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006982977735983377, 'weighted_error': 1.000428147683756, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007004950617068222, 'weighted_error': 1.000378163578894, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007066367819215588, 'weighted_error': 1.0004876934990825, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -26, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007115857244008207, 'weighted_error': 1.0004761466654537, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007110622147137333, 'weighted_error': 1.0003391381687605, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007319733426932548, 'weighted_error': 1.0005863890351372, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069537316421588065, 'weighted_error': 1.0002321799428302, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.00700988703883526, 'weighted_error': 1.000727139937666, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007000371644920916, 'weighted_error': 1.0003495450029722, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.00711702553321519, 'weighted_error': 1.0006903243550809, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0071711106451273375, 'weighted_error': 1.000629628335229, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -24, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007200948439147072, 'weighted_error': 1.000523477540209, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00735463244873432, 'weighted_error': 1.0006409187567022, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069821698536870445, 'weighted_error': 1.0009431352310403, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006978253306511137, 'weighted_error': 1.0003756540229531, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007006803548674639, 'weighted_error': 1.0003897444014345, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007268069725007184, 'weighted_error': 1.0012945011222474, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007087823985005373, 'weighted_error': 1.0003982765015573, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007082768549040784, 'weighted_error': 1.0002822940910123, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007268434810808272, 'weighted_error': 1.0005062349474427, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006968997468196767, 'weighted_error': 1.0006138255937824, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006983029267811113, 'weighted_error': 1.000428720259619, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 7, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007016397599726487, 'weighted_error': 1.0004497072205079, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007073513635764209, 'weighted_error': 1.0005162767652767, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007075313122434927, 'weighted_error': 1.0003635241055275, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007082729556508378, 'weighted_error': 1.0002822145144157, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -9, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007177181209287783, 'weighted_error': 1.0003636511950669, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -54, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006961762601557969, 'weighted_error': 1.0004329539278118, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006975170850693162, 'weighted_error': 1.0003414045138646, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0069937972404435535, 'weighted_error': 1.0003084549749894, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007126452732801045, 'weighted_error': 1.0007280331534236, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0070656347259070475, 'weighted_error': 1.0003366396707276, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007125994686964269, 'weighted_error': 1.0003705106990195, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0070585591615119165, 'weighted_error': 1.0001783042454175, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006972576105856388, 'weighted_error': 1.0007032915352712, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006959686132254583, 'weighted_error': 1.0001693520867696, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0071032151598941695, 'weighted_error': 1.000992316971556, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007039260557657541, 'weighted_error': 1.0003792644528495, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007154475429415581, 'weighted_error': 1.0005834194026966, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.00714758794039164, 'weighted_error': 1.000414578563157, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 44, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007669990298090194, 'weighted_error': 1.0011336653963208, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -46, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006990452218187755, 'weighted_error': 1.0011501943435586, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.0069781980879443225, 'weighted_error': 1.0003750404833212, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007052102377999979, 'weighted_error': 1.0006728620847163, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.0070053472353750895, 'weighted_error': 1.0002436111637196, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -1, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007049603075775551, 'weighted_error': 1.0002921073092517, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007163619487624644, 'weighted_error': 1.0004472960064896, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0072681988316552135, 'weighted_error': 1.0005058662300166, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006972395282057978, 'weighted_error': 1.0006987709403112, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 9, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007025968202945877, 'weighted_error': 1.0009058195388942, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006995667868143368, 'weighted_error': 1.0003201463981148, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -18, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007291222106962868, 'weighted_error': 1.0013871106500707, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.00716085005140171, 'weighted_error': 1.0006011266859909, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 29, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007157759995401175, 'weighted_error': 1.0004353378590947, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007309720432182715, 'weighted_error': 1.0005707437308407, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.00696742295193586, 'weighted_error': 1.0005744626872608, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006974007763518215, 'weighted_error': 1.0003284813230315, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.0069663239582201456, 'weighted_error': 1.0001367469610931, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 1, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007003220915110322, 'weighted_error': 1.000235105882661, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007037048321846848, 'weighted_error': 1.0002572329927835, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -19, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007298587824256248, 'weighted_error': 1.0007227415914528, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0070497601636919085, 'weighted_error': 1.0001645558113237, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -3, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006958294034301066, 'weighted_error': 1.0003462397463896, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007018202810656845, 'weighted_error': 1.000819537402349, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007023451221310418, 'weighted_error': 1.000493792355407, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007074591329710455, 'weighted_error': 1.0005205875410608, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0072621401409328525, 'weighted_error': 1.0008824880457998, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007098007461264349, 'weighted_error': 1.000313393911877, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007211328104948056, 'weighted_error': 1.0004170057195365, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 27, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006984074900850294, 'weighted_error': 1.0009907614101208, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006982632681189323, 'weighted_error': 1.0004243137416011, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007014537121594288, 'weighted_error': 1.000438079232182, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.0071618717336152, 'weighted_error': 1.0008697091566798, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.00715903479219, 'weighted_error': 1.0005960842992918, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 23, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007269876455299349, 'weighted_error': 1.0006641469609272, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 5, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.0071729690042667315, 'weighted_error': 1.0003570696247217, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006960561631964093, 'weighted_error': 1.000402929687963, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 25, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006967115550503958, 'weighted_error': 1.0002519011784285, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007113922875721409, 'weighted_error': 1.001059240195476, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.0070451538454972635, 'weighted_error': 1.0004028376042085, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 3, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007068922185922963, 'weighted_error': 1.000345771504106, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007093907861074497, 'weighted_error': 1.0003050273808771, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 13, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007380606328207556, 'weighted_error': 1.0006815029433793, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006963926467601542, 'weighted_error': 1.0004870505788983, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.00706552570696433, 'weighted_error': 1.0013453473613196, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 23, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007024923367817929, 'weighted_error': 1.0005029932710798, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': 19, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007093157756411843, 'weighted_error': 1.0005948532478672, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -17, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007181993007140025, 'weighted_error': 1.0006598571185976, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -29, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007181702176050651, 'weighted_error': 1.000484199452257, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007320828603673294, 'weighted_error': 1.0005881002487944, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -27, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069758672579096105, 'weighted_error': 1.000785570336604, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007024694747449361, 'weighted_error': 1.0008916700333794, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007025290651994788, 'weighted_error': 1.0005052887971844, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -23, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007050174092217029, 'weighted_error': 1.000422918591088, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007114466170168895, 'weighted_error': 1.0004722825714552, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0072134761421561305, 'weighted_error': 1.000549044281044, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -26, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00738003880614619, 'weighted_error': 1.0006806161901587, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -11, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006971441952906553, 'weighted_error': 1.0006749377115274, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006992965583452232, 'weighted_error': 1.0005391237667456, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.006985348183294358, 'weighted_error': 1.0002556483678062, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -23, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007131248595133047, 'weighted_error': 1.000747216602753, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': -15, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.007106127720140528, 'weighted_error': 1.0004491202102659, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 35, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.0070202294688423905, 'weighted_error': 1.0001546633150968, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': 33, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.00727432588183077, 'weighted_error': 1.0005154397459157, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': -13, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.0069697651706928454, 'weighted_error': 1.0006330181561864, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.006986422520229073, 'weighted_error': 1.0004664230642633, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': -7, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.007041699434003888, 'weighted_error': 1.0006078436847428, 'gamma': 0.4444444444444227}
{'sample_size': 500, 'difference': -28, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.007065854363088056, 'weighted_error': 1.000485639674572, 'gamma': 0.99999999999996}
{'sample_size': 500, 'difference': 39, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.0070575364372658074, 'weighted_error': 1.0003141444245025, 'gamma': 2.2499999999999405}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.007126584342882237, 'weighted_error': 1.0003717140784434, 'gamma': 5.444444444444437}
{'sample_size': 500, 'difference': -5, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.007537581495170208, 'weighted_error': 1.0009267766417587, 'gamma': 16.000000000000675}
{'sample_size': 500, 'difference': 4, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.006959978905122364, 'weighted_error': 1.0003883615169213, 'gamma': 0.06249999999999612}
{'sample_size': 500, 'difference': -21, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.007000868940904814, 'weighted_error': 1.0006269388495501, 'gamma': 0.1836734693877447}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.00700178591357243, 'weighted_error': 1.0003583841820451, 'gamma': 0.4444444444444227}
